GAME_DATE,HOME_TEAM_ID,HOME_TEAM_NAME,_2pointer_PCT_HOME,_3pointer_PCT_HOME,FreeThrow_PCT_HOME,Assists_HOME,Rebounds_HOME,VISITOR_TEAM_ID,VISITOR_TEAM_NAME,_2pointer_PCT_AWAY,_3pointer_PCT_AWAY,FreeThrow_PCT_AWAY,Assists_AWAY,Rebounds_AWAY,HOME_TEAM_WINS
2004-03-27,1610612759,Spurs,0.5,0.357,0.75,31.0,48.0,1610612756,Suns,0.397,0.0,0.7,14.0,39.0,1
2004-03-27,1610612737,Hawks,0.382,0.368,0.8,19.0,48.0,1610612741,Bulls,0.393,0.19,0.7,17.0,44.0,1
2004-03-27,1610612765,Pistons,0.463,0.333,0.808,28.0,43.0,1610612752,Knicks,0.387,0.286,0.742,16.0,42.0,1
2004-03-27,1610612739,Cavaliers,0.538,0.667,0.792,25.0,39.0,1610612751,Nets,0.482,0.556,0.737,27.0,34.0,1
2004-03-27,1610612757,Trail Blazers,0.47,0.538,0.714,24.0,39.0,1610612760,Thunder,0.513,0.462,0.824,29.0,40.0,1
2004-03-27,1610612762,Jazz,0.42,0.429,0.824,20.0,38.0,1610612743,Nuggets,0.372,0.538,0.857,17.0,41.0,1
2004-03-26,1610612747,Lakers,0.393,0.182,0.783,21.0,57.0,1610612750,Timberwolves,0.314,0.375,0.65,19.0,48.0,1
2004-03-26,1610612752,Knicks,0.481,0.545,0.903,15.0,47.0,1610612761,Raptors,0.42,0.464,0.645,20.0,38.0,1
2004-03-26,1610612748,Heat,0.446,0.478,0.765,26.0,40.0,1610612742,Mavericks,0.469,0.182,0.857,18.0,56.0,1
2004-03-26,1610612738,Celtics,0.443,0.227,0.818,14.0,45.0,1610612751,Nets,0.443,0.4,0.684,30.0,36.0,1
2004-03-26,1610612741,Bulls,0.452,0.444,0.5,30.0,42.0,1610612749,Bucks,0.522,0.333,0.837,27.0,46.0,0
2004-03-26,1610612744,Warriors,0.438,0.133,0.76,23.0,56.0,1610612764,Wizards,0.333,0.125,0.771,10.0,43.0,1
2004-03-26,1610612740,Pelicans,0.474,0.529,0.867,29.0,36.0,1610612756,Suns,0.507,0.273,0.69,24.0,38.0,0
2004-03-26,1610612760,Thunder,0.441,0.391,0.786,22.0,48.0,1610612743,Nuggets,0.418,0.308,0.762,17.0,42.0,1
2004-03-26,1610612755,76ers,0.452,0.538,0.722,21.0,41.0,1610612739,Cavaliers,0.391,0.5,0.7,18.0,32.0,1
2004-03-26,1610612753,Magic,0.493,0.4,0.8,12.0,37.0,1610612754,Pacers,0.494,0.563,0.667,25.0,33.0,0
2004-03-26,1610612763,Grizzlies,0.47,0.526,0.808,24.0,41.0,1610612745,Rockets,0.458,0.154,0.9,16.0,37.0,1
2004-03-25,1610612746,Clippers,0.378,0.308,0.778,17.0,46.0,1610612764,Wizards,0.427,0.423,0.733,24.0,47.0,0
2004-03-25,1610612759,Spurs,0.392,0.267,0.759,18.0,43.0,1610612765,Pistons,0.452,0.3,0.462,24.0,31.0,1
2004-03-25,1610612737,Hawks,0.461,0.364,0.833,19.0,44.0,1610612740,Pelicans,0.358,0.167,0.824,19.0,38.0,1
2004-03-24,1610612747,Lakers,0.516,0.182,0.792,29.0,55.0,1610612758,Kings,0.41,0.4,0.654,28.0,33.0,1
2004-03-24,1610612754,Pacers,0.417,0.429,0.727,30.0,47.0,1610612742,Mavericks,0.494,0.4,0.813,25.0,42.0,1
2004-03-24,1610612752,Knicks,0.434,0.286,0.844,15.0,42.0,1610612763,Grizzlies,0.405,0.444,0.875,25.0,41.0,0
2004-03-24,1610612745,Rockets,0.415,0.333,0.818,20.0,53.0,1610612761,Raptors,0.41,0.421,0.684,22.0,41.0,1
2004-03-24,1610612744,Warriors,0.488,0.5,0.636,23.0,46.0,1610612749,Bucks,0.451,0.125,0.75,15.0,35.0,1
2004-03-24,1610612757,Trail Blazers,0.41,0.333,0.8,21.0,36.0,1610612746,Clippers,0.485,0.4,0.895,25.0,40.0,1
2004-03-24,1610612743,Nuggets,0.368,0.357,0.762,20.0,40.0,1610612750,Timberwolves,0.467,0.385,0.81,21.0,48.0,1
2004-03-24,1610612760,Thunder,0.413,0.286,0.929,16.0,36.0,1610612762,Jazz,0.349,0.286,0.75,19.0,39.0,1
2004-03-24,1610612753,Magic,0.416,0.438,0.905,14.0,31.0,1610612748,Heat,0.488,0.368,0.952,25.0,44.0,0
2004-03-24,1610612755,76ers,0.485,0.333,0.861,19.0,33.0,1610612756,Suns,0.447,0.357,0.875,15.0,40.0,1
2004-03-23,1610612750,Timberwolves,0.427,0.0,0.786,19.0,40.0,1610612759,Spurs,0.407,0.167,0.643,28.0,48.0,1
2004-03-23,1610612739,Cavaliers,0.314,0.273,0.906,18.0,42.0,1610612756,Suns,0.57,0.364,0.5,25.0,41.0,0
2004-03-23,1610612741,Bulls,0.4,0.615,0.722,20.0,34.0,1610612751,Nets,0.427,0.308,0.727,26.0,45.0,0
2004-03-23,1610612758,Kings,0.44,0.409,0.783,25.0,36.0,1610612749,Bucks,0.512,0.222,0.8,18.0,44.0,0
2004-03-23,1610612740,Pelicans,0.437,0.409,0.647,22.0,43.0,1610612765,Pistons,0.419,0.294,0.737,19.0,39.0,1
2004-03-23,1610612762,Jazz,0.444,0.154,0.579,25.0,46.0,1610612764,Wizards,0.354,0.412,0.585,10.0,44.0,1
2004-03-23,1610612763,Grizzlies,0.446,0.167,0.675,17.0,53.0,1610612761,Raptors,0.333,0.318,0.767,17.0,47.0,1
2004-03-22,1610612754,Pacers,0.397,0.385,0.919,24.0,39.0,1610612741,Bulls,0.431,0.2,0.722,16.0,41.0,1
2004-03-22,1610612752,Knicks,0.447,0.333,0.889,20.0,49.0,1610612737,Hawks,0.368,0.222,0.75,18.0,40.0,1
2004-03-22,1610612757,Trail Blazers,0.375,0.308,0.636,17.0,43.0,1610612745,Rockets,0.481,0.4,0.818,30.0,46.0,0
2004-03-22,1610612743,Nuggets,0.506,0.545,0.727,27.0,36.0,1610612746,Clippers,0.356,0.25,0.9,16.0,43.0,1
2004-03-22,1610612755,76ers,0.545,0.611,0.857,22.0,35.0,1610612742,Mavericks,0.476,0.389,0.647,22.0,32.0,1
2004-03-21,1610612747,Lakers,0.494,0.125,0.913,30.0,53.0,1610612749,Bucks,0.404,0.4,0.714,30.0,43.0,1
2004-03-21,1610612746,Clippers,0.385,0.3,0.88,20.0,35.0,1610612744,Warriors,0.461,0.182,0.759,23.0,46.0,0
2004-03-21,1610612750,Timberwolves,0.481,0.5,0.773,24.0,50.0,1610612743,Nuggets,0.309,0.182,0.806,14.0,40.0,1
2004-03-21,1610612764,Wizards,0.395,0.368,0.7,16.0,47.0,1610612748,Heat,0.473,0.4,0.75,24.0,41.0,0
