,TEAM_NAME,SEASON,TEAM_ID,PTS_home,_2pointer_PCT_HOME,_3pointer_PCT_HOME,FreeThrow_PCT_HOME,Assists_HOME,Rebounds_HOME,HOME_TEAM_WINS,PTS_away,_2pointer_PCT_AWAY,_3pointer_PCT_AWAY,FreeThrow_PCT_AWAY,Assists_AWAY,Rebounds_AWAY,AWAY_TEAM_WINS
140,Hornets,2009,1610612766,4031.0,0.462,0.366,0.758,873.0,1711.0,31,3782.0,0.446,0.32,0.741,785.0,1637.0,13
141,Hornets,2010,1610612766,3933.0,0.46,0.354,0.743,932.0,1648.0,21,3717.0,0.445,0.285,0.767,796.0,1644.0,13
142,Hornets,2012,1610612766,3955.0,0.436,0.35,0.769,884.0,1693.0,15,3706.0,0.415,0.317,0.739,703.0,1613.0,6
143,Hornets,2013,1610612766,3956.0,0.442,0.34,0.747,916.0,1761.0,25,3986.0,0.445,0.359,0.731,862.0,1739.0,18
144,Hornets,2014,1610612766,3896.0,0.419,0.312,0.733,860.0,1827.0,19,3825.0,0.422,0.314,0.762,794.0,1786.0,14
145,Hornets,2015,1610612766,4324.0,0.445,0.365,0.796,942.0,1855.0,30,4155.0,0.433,0.358,0.794,836.0,1748.0,18
146,Hornets,2016,1610612766,4370.0,0.45,0.352,0.802,989.0,1800.0,22,4231.0,0.436,0.344,0.831,902.0,1774.0,14
147,Hornets,2017,1610612766,4507.0,0.457,0.36,0.753,894.0,1865.0,21,4367.0,0.444,0.366,0.742,876.0,1863.0,15
148,Hornets,2018,1610612766,4639.0,0.46,0.362,0.799,974.0,1833.0,25,4442.0,0.437,0.34,0.786,931.0,1759.0,14
149,Jazz,2003,1610612762,3688.0,0.443,0.332,0.758,823.0,1713.0,28,3583.0,0.431,0.306,0.738,848.0,1662.0,14
150,Jazz,2004,1610612762,3868.0,0.455,0.345,0.763,906.0,1654.0,18,3757.0,0.444,0.323,0.756,920.0,1636.0,8
151,Jazz,2005,1610612762,3786.0,0.443,0.341,0.72,861.0,1779.0,22,3787.0,0.444,0.319,0.715,911.0,1672.0,19
